Local;Codigo 1000;Artigo;Metragem
RUA G COLUNA 09 GAVETA 02;00020000012880013;19 02 0018;19,6
DEPOSITO ALGODAO COLUNA 18 GAVETA 01;1000930913;28 01 1111;100,6
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000977283;28 01 1111;104,1
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000985333;28 01 1111;100,19
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000985334;28 01 1111;100,05
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000957979;28 01 1111;96,76
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000957978;28 01 1111;96,82
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000995940;28 01 1111;104,58
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000995941;28 01 1111;104,16
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000995942;28 01 1111;104,26
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000985331;28 01 1111;101,97
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000995943;28 01 1111;104,37
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000995944;28 01 1111;103,12
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000995945;28 01 1111;99,03
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000995946;28 01 1111;99,31
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000995947;28 01 1111;57,61
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000995948;28 01 1111;97,25
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000968700;28 01 1111;91,64
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000978732;28 01 1111;101,81
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000977276;28 01 1111;104,06
RUA A COLUNA 03 GAVETA 07;1000996207;28 01 1111;98,77
RUA A COLUNA 03 GAVETA 07;1000996208;28 01 1111;98,91
RUA A COLUNA 03 GAVETA 07;1000996210;28 01 1111;98,67
RUA A COLUNA 03 GAVETA 07;1000996209;28 01 1111;98,71
RUA A COLUNA 03 GAVETA 07;1000996200;28 01 1111;101,69
RUA A COLUNA 03 GAVETA 07;1000996204;28 01 1111;99
RUA A COLUNA 03 GAVETA 07;1000996201;28 01 1111;92,94
RUA A COLUNA 03 GAVETA 07;1000996205;28 01 1111;98,8
RUA A COLUNA 03 GAVETA 07;1000996206;28 01 1111;98,41
RUA A COLUNA 06 GAVETA 03;1000989323;28 01 1111;96,84
RUA A COLUNA 06 GAVETA 03;1000989308;28 01 1111;96,78
RUA A COLUNA 06 GAVETA 03;1000985144;28 01 1111;101,05
RUA A COLUNA 06 GAVETA 03;1000978367;28 01 1111;98,41
RUA A COLUNA 06 GAVETA 03;1000989313;28 01 1111;96,68
RUA A COLUNA 06 GAVETA 03;1000989319;28 01 1111;102,94
RUA A COLUNA 06 GAVETA 03;1000989320;28 01 1111;96,82
RUA A COLUNA 09 GAVETA 02;1000995150;28 01 1111;46,96
RUA A COLUNA 12 GAVETA 02;1000977454;28 01 1111;101,19
RUA A COLUNA 12 GAVETA 02;1000977453;28 01 1111;103,76
RUA A COLUNA 12 GAVETA 02;1000993845;28 01 1111;48,67
RUA A COLUNA 32 GAVETA 07;1000995707;28 01 1111;99,6
RUA A COLUNA 32 GAVETA 07;1000995700;28 01 1111;89,74
RUA A COLUNA 32 GAVETA 07;1000995706;28 01 1111;99,53
RUA A COLUNA 32 GAVETA 07;1000995708;28 01 1111;99,61
RUA A COLUNA 32 GAVETA 07;1000995704;28 01 1111;99,28
RUA A COLUNA 32 GAVETA 07;1000995699;28 01 1111;94,87
RUA A COLUNA 33 GAVETA 07;1000995690;28 01 1111;97,92
RUA A COLUNA 33 GAVETA 07;1000995691;28 01 1111;98,12
RUA B COLUNA 10 GAVETA 07;1000996147;28 01 1111;96,66
RUA B COLUNA 10 GAVETA 07;1000996151;28 01 1111;96,52
RUA B COLUNA 10 GAVETA 07;1000996145;28 01 1111;96,76
RUA B COLUNA 10 GAVETA 07;1000996152;28 01 1111;90,25
RUA B COLUNA 10 GAVETA 07;1000996148;28 01 1111;96,75
RUA B COLUNA 10 GAVETA 07;1000996146;28 01 1111;96,82
RUA B COLUNA 10 GAVETA 07;1000996150;28 01 1111;96,36
RUA B COLUNA 10 GAVETA 07;1000996149;28 01 1111;96,46
RUA B COLUNA 30 GAVETA 03;1000995969;28 01 1111;99,96
RUA B COLUNA 30 GAVETA 03;1000995970;28 01 1111;99,99
RUA B COLUNA 30 GAVETA 03;1000995971;28 01 1111;99,94
RUA B COLUNA 30 GAVETA 03;1000995973;28 01 1111;99,76
RUA B COLUNA 30 GAVETA 03;1000995974;28 01 1111;99,96
RUA B COLUNA 30 GAVETA 03;1000995976;28 01 1111;100,01
RUA B COLUNA 30 GAVETA 03;1000995972;28 01 1111;100,01
RUA B COLUNA 30 GAVETA 03;1000995975;28 01 1111;100,03
RUA B COLUNA 32 GAVETA 02;1000995966;28 01 1111;99,96
RUA B COLUNA 32 GAVETA 02;1000995949;28 01 1111;97,27
RUA B COLUNA 32 GAVETA 02;1000995950;28 01 1111;34,29
RUA B COLUNA 32 GAVETA 02;1000995967;28 01 1111;99,97
RUA B COLUNA 32 GAVETA 02;1000995961;28 01 1111;100,11
RUA B COLUNA 32 GAVETA 02;1000995965;28 01 1111;99,96
RUA B COLUNA 32 GAVETA 02;1000995964;28 01 1111;100,1
RUA B COLUNA 32 GAVETA 02;1000995963;28 01 1111;100,2
RUA B COLUNA 32 GAVETA 02;1000995962;28 01 1111;100,18
RUA B COLUNA 33 GAVETA 05;1000996262;28 01 1111;97,14
RUA B COLUNA 33 GAVETA 05;1000996258;28 01 1111;97,27
RUA B COLUNA 33 GAVETA 05;1000996712;28 01 1111;99,08
RUA B COLUNA 33 GAVETA 05;1000996722;28 01 1111;99,04
RUA B COLUNA 33 GAVETA 05;1000996263;28 01 1111;67,5
RUA B COLUNA 33 GAVETA 05;1000996257;28 01 1111;97,16
RUA B COLUNA 33 GAVETA 05;1000996261;28 01 1111;96,9
RUA B COLUNA 33 GAVETA 05;1000996260;28 01 1111;96,83
RUA B COLUNA 33 GAVETA 05;1000996259;28 01 1111;97,03
RUA B COLUNA 34 GAVETA 07;1000996313;28 01 1111;100,61
RUA B COLUNA 34 GAVETA 07;1000996316;28 01 1111;99,32
RUA B COLUNA 34 GAVETA 07;1000996319;28 01 1111;99,45
RUA B COLUNA 34 GAVETA 07;1000996320;28 01 1111;99,99
RUA B COLUNA 34 GAVETA 07;1000996317;28 01 1111;99,18
RUA B COLUNA 34 GAVETA 07;1000996318;28 01 1111;99,14
RUA B COLUNA 34 GAVETA 07;1000996321;28 01 1111;99,55
RUA B COLUNA 34 GAVETA 07;1000996315;28 01 1111;99,33
RUA B COLUNA 34 GAVETA 07;1000996314;28 01 1111;98,35
RUA B COLUNA 36 GAVETA 05;1000996323;28 01 1111;100,05
RUA B COLUNA 36 GAVETA 05;1000996324;28 01 1111;99,59
RUA B COLUNA 36 GAVETA 05;1000996322;28 01 1111;99,73
RUA B COLUNA 36 GAVETA 05;1000996325;28 01 1111;99,53
RUA B COLUNA 36 GAVETA 05;1000996327;28 01 1111;99,91
RUA B COLUNA 36 GAVETA 05;1000996326;28 01 1111;99,77
RUA B COLUNA 36 GAVETA 05;1000996329;28 01 1111;99,18
RUA B COLUNA 36 GAVETA 05;1000996328;28 01 1111;99,26
RUA B COLUNA 36 GAVETA 06;1000993826;28 01 1111;99,74
